Year,Dead
2015,0.0000000
2020,0.0000000
2025,-0.0050950
2030,-0.0061718
2035,-0.0040254
2040,0.0009331
2045,0.0083946
2050,0.0179625
2055,0.0292075
2060,0.0416148
2065,0.0547461
2070,0.0681775
2075,0.0816199
2080,0.0946729
2085,0.1068020
2090,0.1177650
2095,0.1277895
2100,0.1372227
